internal_id,basic_final_polish,gw_polish,diameter_min,diameter_max,height,table_size,crown_angle,pavilion_angle,star_length,lower_half,girdle_thick,girdle_min,girdle_max,culet_size,crown_height,pavilion_depth,total_depth,table_size_pct,table_size_pct_grade,crown_angle_degree,crown_angle_degree_grade,pavilion_angle_degree,pavilion_angle_degree_grade,star_length_pct,star_length_pct_grade,lower_half_pct,lower_half_pct_grade,girdle_thick_pct,girdle_thick_pct_grade,girdle_min_description,girdle_max_description,girdle_grade,culet_size_description,crown_height_pct,crown_height_pct_grade,pavilion_depth_pct,total_depth_pct,total_depth_pct_grade,individual_cut_grade,est_table_cut_grade,gradia_cut,final_gradia_cut,final_sarine_cut,gw_cut,sarine_cut,sarine_symmetry,gw_symmetry,roundness,roundness_grade,table_size_dev,table_size_dev_grade,crown_angle_dev,crown_angle_dev_grade,pavilion_angle_dev,pavilion_angle_dev_grade,star_length_dev,star_length_dev_grade,lower_half_dev,lower_half_dev_grade,girdle_thick_dev,girdle_thick_dev_grade,crown_height_dev,crown_height_dev_grade,pavilion_depth_dev,pavilion_depth_dev_grade,misalignment,misalignment_grade,table_edge_var,table_edge_var_grade,table_off_center,table_off_center_grade,culet_off_center,culet_off_center_grade,table_off_culet,table_off_culet_grade,star_angle,star_angle_grade,upper_half_angle,upper_half_angle_grade,lower_half_angle,lower_half_angle_grade,remarks
11,VG,GD,2.85,2.88,1.823,58.5,36.38,41.49,46.3,78.7,4.36,2.34,3.21,0.8,15.28,43.81,63.59,59,EX,36.5,EX,41.4,EX,45,EX,80,EX,4.5,EX,STK,THK,VG,None / Very Small,15.5,EX,44,63.6,VG,VG,VG,VG,VG,VG,VG,VG,GD,VG,1,VG,0.8,EX,0.9,EX,2.1,GD,4,EX,3,EX,1,EX,0.7,EX,0.3,EX,2.6,VG,2.1,EX,0.1,EX,2.2,GD,2.1,GD,1.5,EX,2.1,EX,2.5,VG,
12,VG,GD,2.88,2.9,1.778,59.1,34.31,41.48,45.5,76.6,3.6,1.56,2.56,0.69,14,43.85,61.48,59,EX,34.5,EX,41.4,EX,45,EX,75,EX,3.5,EX,MED,STK,EX,None / Very Small,14,EX,44,61.5,EX,EX,EX,EX,EX,EX,VG,EX,VG,GD,0.8,EX,2.3,VG,0.6,EX,0.4,EX,3.6,EX,4.2,EX,0.5,EX,1,EX,0.7,EX,2.8,VG,2.1,EX,0.6,EX,0.6,EX,1.2,VG,2,EX,4.1,EX,0.5,EX,
13,VG,VG,2.89,2.92,1.802,59.3,34.2,41.25,47.6,76.9,4.86,2.79,4.27,0.72,13.74,43.44,62.07,59,EX,34,EX,41.2,EX,50,EX,75,EX,5,VG,STK,VTK,GD,None / Very Small,13.5,EX,43.5,62.1,EX,GD,EX,GD,GD,GD,VG,GD,VG,VG,1.1,VG,0.7,EX,1,EX,0.4,EX,5.8,EX,1.9,EX,1.1,EX,0.7,EX,0.7,EX,2,VG,4.2,VG,1,VG,0.4,EX,0.8,EX,1.7,EX,1.2,EX,0.6,EX,
14,EX,VG,2.94,2.97,1.752,60.7,33.03,40.5,45.7,74.7,4.3,2.17,3.52,0.61,12.76,42.25,59.31,61,EX,33,EX,40.6,EX,45,EX,75,EX,4.5,EX,STK,THK,VG,None / Very Small,13,EX,42.5,59.3,EX,VG,VG,VG,VG,VG,VG,VG,VG,VG,0.9,EX,1.3,VG,0.8,EX,1,VG,5,EX,2.6,EX,1.6,VG,1,EX,0.7,EX,2.2,VG,2.6,EX,0.7,VG,0.7,VG,1.3,VG,1.2,EX,0.9,EX,1,EX,
15,VG,VG,2.89,2.91,1.818,58.1,34.55,41.86,43.4,80,3.65,1.86,2.79,0.72,14.44,44.5,62.67,58,EX,34.5,EX,41.8,EX,45,EX,80,EX,3.5,EX,MED,STK,EX,None / Very Small,14.5,EX,44.5,62.7,EX,EX,VG,VG,VG,VG,VG,EX,GD,GD,0.6,EX,0.6,EX,0.4,EX,1.1,VG,4.3,EX,2.4,EX,1.3,VG,1,EX,1.4,VG,4,GD,2,EX,0.5,EX,0.4,EX,0.8,EX,1.4,EX,1.3,EX,1,EX,
16,VG,GD,2.88,2.9,1.777,57.8,33.48,41.24,46.9,76.7,3.95,2.01,3.05,0.69,13.99,43.57,61.55,58,EX,33.5,EX,41.2,EX,45,EX,75,EX,4,EX,MED,THK,VG,None / Very Small,14,EX,43.5,61.6,EX,VG,EX,VG,VG,VG,VG,VG,VG,VG,0.6,EX,0.7,EX,0.8,EX,0.9,EX,8.2,EX,1.7,EX,1,EX,0.7,EX,0.7,EX,2.2,VG,1.8,EX,0.3,EX,0.7,VG,0.4,EX,1.9,EX,2.1,EX,0.9,EX,
17,VG,VG,2.93,2.95,1.73,64.5,33.93,40.25,51.8,80.5,4.83,2.69,3.71,0.58,11.91,41.99,58.86,65,VG,34,EX,40.2,VG,50,EX,80,EX,5,VG,STK,THK,VG,None / Very Small,12,VG,42,58.9,EX,VG,GD,GD,GD,GD,VG,GD,VG,GD,0.5,EX,0.2,EX,0.4,EX,0.8,EX,4.8,EX,3,EX,0.9,EX,0.7,EX,1,EX,2.7,VG,1.4,EX,0.6,EX,0.4,EX,0.8,EX,2.1,EX,0.7,EX,0.9,EX,
18,VG,VG,2.81,2.82,1.773,61.3,36.6,40.94,47.9,77.4,5.58,3.31,4.91,0.68,14.37,43.03,63.05,61,EX,36.5,EX,41,EX,50,EX,75,EX,5.5,VG,THK,VTK,GD,None / Very Small,14.5,EX,43,63.1,VG,GD,VG,GD,GD,GD,VG,GD,GD,GD,0.5,EX,0.5,EX,1.5,VG,1.5,VG,3.6,EX,4.4,EX,1.4,VG,0.4,EX,1.8,VG,4.4,GD,2,EX,0.6,EX,0.5,EX,0.8,EX,0.9,EX,1.6,EX,1.5,EX,
19,VG,VG,2.92,2.94,1.766,57.4,34.25,40.24,45.4,74.7,3.86,1.95,2.87,0.72,14.45,41.92,60.33,57,EX,34.5,EX,40.2,VG,45,EX,75,EX,4,EX,MED,STK,EX,None / Very Small,14.5,EX,42,60.3,EX,VG,VG,VG,VG,VG,VG,VG,VG,GD,0.8,EX,1.9,VG,0.5,EX,0.9,EX,3,EX,4.4,EX,0.4,EX,1,EX,0.7,EX,2.9,VG,4.8,VG,0.3,EX,1,VG,1.2,VG,2,EX,1,EX,1.1,EX,
20,VG,VG,2.81,2.83,1.752,61,35.65,40.75,47.5,77.8,5.52,2.9,5.21,0.74,13.92,42.46,62.04,61,EX,35.5,EX,40.8,EX,50,EX,80,EX,5.5,VG,STK,VTK,GD,None / Very Small,14,EX,42.5,62,EX,GD,EX,GD,GD,GD,VG,GD,GD,GD,0.7,EX,0.5,EX,0.7,EX,0.9,EX,7.3,EX,6.8,VG,1.8,VG,0.7,EX,1.1,EX,4.9,GD,3.2,VG,0.3,EX,0.8,VG,0.9,EX,1.4,EX,3.7,EX,1.2,EX,
21,VG,VG,2.9,2.92,1.786,56.5,34.14,40.89,49.2,76,3.71,1.58,2.54,0.65,14.7,42.89,61.33,57,EX,34,EX,40.8,EX,50,EX,75,EX,3.5,EX,MED,STK,EX,None / Very Small,14.5,EX,43,61.3,EX,EX,EX,EX,EX,EX,EX,EX,VG,VG,0.6,EX,1,EX,0.5,EX,0.1,EX,5.2,EX,2.7,EX,0.8,EX,0.7,EX,0.7,EX,2.5,VG,2.2,EX,0.2,EX,0.1,EX,0.2,EX,2,EX,1.3,EX,0.2,EX,
22,VG,VG,2.82,2.84,1.812,60.1,36.55,41.18,47.6,75.8,5.76,3.68,5.02,0.81,14.78,43.39,64.07,60,EX,36.5,EX,41.2,EX,50,EX,75,EX,6,GD,THK,VTK,GD,None / Very Small,15,EX,43.5,64.1,VG,GD,VG,GD,GD,GD,VG,GD,GD,GD,0.6,EX,0.2,EX,0.5,EX,1,VG,3.2,EX,2.6,EX,1.3,VG,0.7,EX,1.4,VG,4.1,GD,1.7,EX,0.5,EX,0.7,VG,1.1,VG,2.7,EX,2.2,EX,1,EX,
23,VG,VG,2.78,2.81,1.653,62.2,33.05,40.63,48.9,80.3,4.15,2.43,3.33,0.57,12.37,42.53,59.12,62,EX,33,EX,40.6,EX,50,EX,80,EX,4,EX,STK,THK,VG,None / Very Small,12.5,EX,42.5,59.1,EX,VG,VG,VG,VG,VG,VG,VG,GD,VG,1,VG,0.2,EX,0.7,EX,1.2,VG,2.7,EX,3.6,EX,0.9,EX,1.1,EX,1.4,VG,3.2,GD,3.4,VG,0.2,EX,0.6,EX,0.5,EX,2.2,EX,2.6,EX,1.1,EX,
24,EX,VG,2.82,2.84,1.688,60.4,33.63,41.01,47.6,76.9,3.39,1.31,2.97,0.92,13.22,43.04,59.65,60,EX,33.5,EX,41,EX,50,EX,75,EX,3.5,EX,MED,THK,VG,None / Very Small,13,EX,43,59.6,EX,VG,EX,VG,VG,VG,EX,VG,VG,VG,0.8,EX,0.6,EX,0.4,EX,1.4,VG,5.2,EX,2.5,EX,1.2,EX,0.4,EX,0.7,EX,1.3,EX,3.6,VG,0.1,EX,1,VG,0.9,EX,2.9,EX,3.1,EX,1,EX,
25,VG,VG,2.85,2.87,1.752,60.7,33.98,41.61,49.3,77.6,3.92,1.54,2.77,0.74,13.27,44.1,61.32,61,EX,34,EX,41.6,EX,50,EX,80,EX,4,EX,MED,STK,EX,None / Very Small,13.5,EX,44,61.3,EX,EX,VG,VG,VG,EX,EX,EX,VG,VG,0.6,EX,0.8,EX,0.4,EX,0.2,EX,3.5,EX,6,EX,0.9,EX,0.4,EX,0.7,EX,1.7,VG,2.4,EX,0.2,EX,0.3,EX,0.3,EX,1.3,EX,0.5,EX,0.2,EX,
26,VG,VG,2.83,2.85,1.807,58.9,35.83,41.71,47.7,77.7,4.44,2.5,3.48,0.74,14.82,44.17,63.6,59,EX,36,EX,41.8,EX,50,EX,80,EX,4.5,EX,STK,THK,VG,None / Very Small,15,EX,44,63.6,VG,VG,VG,VG,VG,VG,VG,VG,GD,GD,0.8,EX,0.8,EX,1.2,EX,1.1,VG,4.6,EX,2.5,EX,1.2,EX,0.7,EX,0.7,EX,3.5,GD,1.3,EX,0.5,EX,0.4,EX,0.8,EX,2.1,EX,1.9,EX,1.2,EX,
27,VG,VG,2.9,2.92,1.82,57.7,34.59,41.49,46.6,76.4,4.09,1.82,2.78,0.58,14.51,43.93,62.56,58,EX,34.5,EX,41.4,EX,45,EX,75,EX,4,EX,MED,STK,EX,None / Very Small,14.5,EX,44,62.6,EX,EX,EX,EX,EX,EX,EX,EX,VG,VG,0.7,EX,0.3,EX,1,EX,1.4,VG,3.7,EX,6.4,VG,1.1,EX,1,EX,1.4,VG,0.9,EX,0.9,EX,0.5,EX,0.8,VG,0.6,EX,2.2,EX,1.2,EX,1,EX,
50,EX,#N/A,2.89,2.91,1.767,57.3,34,40.88,48.6,78,3.45,1.83,2.62,0.76,14.45,42.97,60.93,57,EX,34,EX,40.8,EX,50,EX,80,EX,3.5,EX,MED,STK,EX,None / Very Small,14.5,EX,43,60.9,EX,EX,EX,EX,EX,EX,#N/A,EX,VG,,0.8,EX,0.5,EX,0.4,EX,0.3,EX,3.7,EX,2.1,EX,0.6,EX,0.7,EX,0.7,EX,2.3,VG,1,EX,0.5,EX,0.4,EX,0.8,EX,1.8,EX,1.6,EX,0.3,EX,
60,EX,#N/A,2.92,2.93,1.758,59.1,33.04,40.18,46,75.3,4.89,2.56,3.9,0.44,13.13,42.05,60.1,59,EX,33,EX,40.2,VG,45,EX,75,EX,5,VG,STK,THK,VG,None / Very Small,13,EX,42,60.1,EX,VG,GD,GD,GD,VG,#N/A,VG,GD,,0.6,EX,1.9,VG,2,VG,1.5,VG,20.4,GD,3,EX,1,EX,1.7,VG,2.4,VG,3.2,GD,3.4,VG,0.8,VG,0.5,EX,1.3,VG,1.8,EX,2.7,EX,1.7,EX,
65,VG,#N/A,2.96,2.99,1.838,58.3,34.64,41.56,42.2,81.2,3.16,1.21,2.56,0.57,14.47,44.11,61.84,58,EX,34.5,EX,41.6,EX,40,VG,80,EX,3,EX,THN,STK,EX,None / Very Small,14.5,EX,44,61.8,EX,VG,EX,VG,VG,VG,#N/A,VG,VG,,1.1,VG,0.7,EX,0.7,EX,0.7,EX,8.5,EX,1.1,EX,0.9,EX,1,EX,0.7,EX,2.5,VG,3.8,VG,0.7,VG,0.5,EX,0.9,EX,1.5,EX,2.2,EX,0.7,EX,
131,VG,#N/A,2.92,2.97,1.848,61.3,34,42.03,49.7,75.9,4.95,2.51,4.31,0.54,13,44.72,62.71,61,EX,34,EX,42,VG,50,EX,75,EX,5,VG,STK,VTK,GD,None / Very Small,13,EX,44.5,62.7,EX,GD,VG,GD,GD,GD,#N/A,GD,GD,,1.6,VG,0.5,EX,0.6,EX,0.7,EX,5.2,EX,2.4,EX,0.8,EX,1,EX,1,EX,3.9,GD,2.9,VG,0.6,EX,0.8,VG,1.3,VG,2.2,EX,2,EX,1.3,EX,
