internal_id,,,diameter_min,diameter_max,height,table_size,crown_angle,pavilion_angle,star_length,lower_half,girdle_thickness_number,girdle_min_number,girdle_max_number,culet_size,crown_height,pavilion_depth,total_depth,table_size_rounded,crown_angle_rounded,pavilion_angle_rounded,star_length_rounded,lower_half_rounded,girdle_thickness_rounded,girdle_min_grade,girdle_max_grade,culet_size_description,crown_height_rounded,pavilion_depth_rounded,total_depth_rounded,sarine_cut_pre_polish_symmetry,sarine_symmetry,roundness,roundness_grade,table_size_dev,table_size_dev_grade,crown_angle_dev,crown_angle_dev_grade,pavilion_angle_dev,pavilion_angle_dev_grade,star_length_dev,star_length_dev_grade,lower_half_dev,lower_half_dev_grade,girdle_thick_dev,girdle_thick_dev_grade,crown_height_dev,crown_height_dev_grade,pavilion_depth_dev,pavilion_depth_dev_grade,misalignment,misalignment_grade,table_edge_var,table_edge_var_grade,table_off_center,table_off_center_grade,culet_off_center,culet_off_center_grade,table_off_culet,table_off_culet_grade,star_angle,star_angle_grade,upper_half_angle,upper_half_angle_grade,lower_half_angle,lower_half_angle_grade,remarks
115,Round,0.088,2.82,2.84,1.764,60.7,35.29,41.7,47.2,76.5,4.07,1.56,3.61,0.57,13.93,44.31,62.38,61,35.5,41.8,45,75,4,MED,THK,None / Very Small,14,44.5,62.4,VG,GD,0.8,EX,0.7,EX,1,EX,1.9,GD,6.8,EX,9.2,VG,1.5,VG,0.4,EX,1.4,VG,3.7,GD,2.6,EX,0.4,EX,0.9,VG,1.2,VG,1.5,EX,2.1,EX,1.8,EX,
118,Round,0.088,2.88,2.91,1.746,58.2,33.81,41.19,48,80.5,2.66,0.83,1.73,0.66,14.02,43.47,60.29,58,34,41.2,50,80,2.5,THN,MED,None / Very Small,14,43.5,60.3,EX,GD,0.9,EX,1.4,VG,0.3,EX,1.1,VG,3.4,EX,3.4,EX,0.7,EX,0.7,EX,1,EX,4.1,GD,2.6,EX,0.4,EX,0.7,VG,0.6,EX,2.8,EX,1.3,EX,1,EX,
119,Round,0.088,2.82,2.84,1.757,59.7,35.33,41.46,50.4,79.9,3.96,1.84,2.97,0.74,14.31,43.82,62.08,60,35.5,41.4,50,80,4,MED,THK,None / Very Small,14.5,44,62.1,VG,GD,0.8,EX,1.2,EX,2.1,VG,3,GD,4.9,EX,3.5,EX,0.7,EX,1.1,EX,1.1,EX,2.2,VG,1.3,EX,0.3,EX,2.1,GD,1.9,GD,1.7,EX,3.5,EX,3,VG,
121,ROUND,0.088,2.81,2.83,1.77,59.1,36.79,41.46,47.2,78.5,3.62,1.6,2.95,0.85,15.34,43.84,62.83,59,37,41.4,45,80,3.5,MED,THK,None / Very Small,15.5,44,62.8,GD,GD,0.6,EX,0.4,EX,2.9,GD,1.3,VG,7,EX,2.6,EX,1.4,VG,1.4,VG,2.1,VG,2.7,VG,1.5,EX,0.3,EX,0.2,EX,0.2,EX,2.5,EX,2.5,EX,1.4,EX,
122,Round,0.088,2.87,2.9,1.735,61.2,36.44,41,48.4,76.5,2.6,1.01,1.67,0.69,14.34,43.25,60.22,61,36.5,41,50,75,2.5,THN,MED,None / Very Small,14.5,43.5,60.2,VG,GD,1.1,VG,0.2,EX,1.5,VG,0.8,EX,5.2,EX,5.3,EX,0.7,EX,0.7,EX,1,EX,3.4,GD,2.4,EX,0.3,EX,0.4,EX,0.6,EX,3,EX,3.6,EX,1,EX,
123,Round,0.089,2.84,2.85,1.777,59.4,37.33,41.45,46.5,77.5,2.99,0.88,1.93,0.56,15.5,43.9,62.46,59,37.5,41.4,45,80,3,THN,MED,None / Very Small,15.5,44,62.5,GD,GD,0.6,EX,1.6,VG,1.8,VG,1.5,VG,8.8,EX,6.5,VG,1.4,VG,1.4,VG,1.4,VG,3.7,GD,1.9,EX,0.4,EX,0.6,EX,0.4,EX,1.6,EX,2,EX,1.8,EX,
124,Round,0.088,2.86,2.87,1.76,57.4,33.26,41.53,46.4,79.5,3.46,1.33,2.44,0.56,13.93,43.94,61.43,57,33.5,41.6,45,80,3.5,MED,STK,None / Very Small,14,44,61.4,EX,GD,0.7,EX,1.4,VG,1.2,EX,0.4,EX,5.3,EX,4,EX,0.9,EX,0.7,EX,0.3,EX,3.5,GD,4.2,VG,0.9,VG,0.5,EX,1.4,VG,2.8,EX,2.3,EX,0.5,EX,
125,ROUND,0.09,2.87,2.89,1.745,61,34.98,41.05,52.7,76.9,3.68,1.15,2.67,0.69,13.65,43.24,60.61,61,35,41,55,75,3.5,THN,STK,None / Very Small,13.5,43,60.6,EX,VG,0.5,EX,0.7,EX,0.6,EX,0.6,EX,6.1,EX,4.8,EX,1.5,VG,1,EX,0.7,EX,2.9,VG,2.6,EX,0.4,EX,0.9,VG,1.3,VG,1.7,EX,4.5,EX,0.8,EX,
127,Round,0.089,2.83,2.85,1.771,59.3,36.2,41.38,46.9,77.9,3.7,1.41,2.39,0.74,14.96,43.7,62.36,59,36,41.4,45,80,3.5,MED,STK,None / Very Small,15,43.5,62.4,VG,VG,0.6,EX,1.4,VG,1.8,VG,1.2,VG,2.8,EX,4.3,EX,0.5,EX,1.1,EX,1.1,EX,2.3,VG,2.6,EX,0.1,EX,0.4,EX,0.5,EX,3.3,EX,2.8,EX,1.2,EX,
128,Round,0.088,2.9,2.93,1.689,60.4,31.65,40.3,47.4,80.7,3.5,0.72,2.91,0.38,12.21,42.18,57.92,60,31.5,40.4,45,80,3.5,ETN to VTN,STK,None / Very Small,12,42,57.9,GD,VG,1,VG,0.8,EX,1.6,VG,1.6,VG,3.7,EX,2,EX,1.3,VG,1.4,VG,1.7,VG,2.7,VG,2.4,EX,0.3,EX,0.2,EX,0.3,EX,2.9,EX,1.7,EX,1.7,EX,
130,ROUND,0.09,2.87,2.89,1.757,58.4,34.14,41.05,45.4,76.2,3.68,1.67,2.54,0.83,14.14,43.19,61.05,58,34,41,45,75,3.5,MED,STK,None / Very Small,14,43,61,EX,VG,0.8,EX,0.5,EX,0.7,EX,0.6,EX,5,EX,4.4,EX,0.9,EX,1.4,VG,1,EX,1.1,EX,2.2,EX,0.7,VG,0.9,VG,1.5,VG,2.6,EX,2.6,EX,0.5,EX,
132,ROUND,0.1,2.91,2.93,1.872,57.2,36.03,41.76,49.7,79.8,4.11,2.12,3.18,0.65,15.54,44.28,64.07,57,36,41.8,50,80,4,STK,THK,None / Very Small,15.5,44.5,64.1,VG,GD,0.5,EX,0.7,EX,2.2,VG,2.4,GD,4,EX,3.3,EX,1,EX,1.7,VG,1.4,VG,2.9,VG,2,EX,0.4,EX,1.6,GD,1.2,VG,2.4,EX,2.3,EX,2.3,VG,
135,Round,0.102,2.89,2.92,1.862,58.1,37.44,40.4,50.7,78.2,5.47,2.78,4.26,0.45,16.09,42.35,64.01,58,37.5,40.4,50,80,5.5,STK,VTK,None / Very Small,16,42.5,64,GD,GD,1,VG,0.8,EX,1,EX,0.8,EX,4.2,EX,4.5,EX,1,EX,1,EX,0.7,EX,3.2,GD,3.2,VG,0.6,EX,0.5,EX,0.1,EX,2.2,EX,4.3,EX,1.2,EX,
133,ROUND,0.1,2.9,2.94,1.857,59.4,36.46,41.58,48.5,80.2,4.48,2.19,3.46,0.62,14.98,44.03,63.53,59,36.5,41.6,50,80,4.5,STK,THK,None / Very Small,15,44,63.5,VG,GD,1.3,VG,4.1,GD,2.3,VG,1.2,VG,8.6,EX,3.7,EX,1.6,VG,2.1,VG,2.1,VG,2.4,VG,3.1,VG,0.5,EX,0.8,VG,0.9,EX,4.4,VG,3.5,EX,1.4,EX,
137,Round,0.101,2.98,3,1.795,59.9,32.53,40.29,48.1,77.2,5.05,2.71,4.28,0.54,12.88,42.07,60.07,60,32.5,40.2,50,75,5,STK,VTK,None / Very Small,13,42,60.1,GD,GD,0.8,EX,2.6,GD,0.9,EX,0.3,EX,7.6,EX,2.2,EX,1.1,EX,2,VG,1,EX,2.9,VG,4.5,VG,1.4,GD,1.1,VG,2.5,GD,4.7,VG,2.4,EX,0.5,EX,
139,Round,0.101,3,3.02,1.79,60.6,33.01,40.6,47.3,78.1,3.95,2.06,3.09,0.6,12.86,42.59,59.47,61,33,40.6,45,80,4,STK,THK,None / Very Small,13,42.5,59.5,VG,VG,0.7,EX,1.5,VG,1.7,VG,1.4,VG,6.1,EX,3.2,EX,0.8,EX,1.7,VG,1.3,VG,2.9,VG,2.2,EX,0.5,EX,0.8,VG,0.8,EX,1.6,EX,1.2,EX,1.5,EX,
140,Round,0.101,2.91,2.94,1.879,57.9,36.14,41.59,48.9,78.4,4.58,2.49,3.55,0.44,15.4,44.16,64.17,58,36,41.6,50,80,4.5,STK,THK,None / Very Small,15.5,44,64.2,VG,VG,0.9,EX,0.7,EX,0.9,EX,0.5,EX,4.1,EX,5.1,EX,0.9,EX,0.7,EX,0.3,EX,1.9,VG,2.5,EX,0.2,EX,0.6,EX,0.7,EX,1.5,EX,1.7,EX,0.6,EX,
141,Round,0.102,2.98,3,1.848,59.6,34.5,41.6,46.3,81,3.68,1.51,2.51,0.64,13.95,44.18,61.81,60,34.5,41.6,45,80,3.5,MED,STK,None / Very Small,14,44,61.8,EX,VG,0.8,EX,0.3,EX,0.7,EX,1.3,VG,5.1,EX,4,EX,1.2,EX,1.7,VG,2,VG,1.7,VG,3.5,VG,0.9,VG,0.2,EX,1.1,VG,2.9,EX,1.6,EX,1.2,EX,
136,ROUND,0.101,2.98,3.01,1.775,60.5,31.89,40.23,48,75.1,4.84,2.94,4.41,0.5,12.35,41.97,59.27,61,32,40.2,50,75,5,STK,VTK,None / Very Small,12.5,42,59.3,GD,GD,1.1,VG,1,EX,1.2,EX,1.2,VG,5.1,EX,6.2,VG,1.3,VG,1.3,VG,1.7,VG,4.5,GD,2.3,EX,0.8,VG,0.7,VG,0.8,EX,1.4,EX,1.4,EX,1.2,EX,
143,Round,0.103,2.96,2.98,1.855,57.5,35.73,40.8,47.9,78.3,4.27,2.46,4.14,0.67,15.31,42.78,62.44,58,35.5,40.8,50,80,4.5,STK,THK,None / Very Small,15.5,43,62.4,VG,GD,0.6,EX,1.4,VG,0.7,EX,1.6,VG,6,EX,3.8,EX,0.4,EX,0.7,EX,0.7,EX,4.9,GD,3,VG,0.3,EX,1.2,VG,1.2,VG,2.1,EX,1.4,EX,1.6,EX,
138,ROUND,0.101,2.93,2.97,1.825,60.3,36.41,40.86,50.9,78.3,4.17,2.03,3.69,0.78,14.63,42.92,61.82,60,36.5,40.8,50,80,4,MED,THK,None / Very Small,14.5,43,61.8,VG,GD,1.2,VG,0.9,EX,1.2,EX,0.6,EX,8.8,EX,2.8,EX,1.6,VG,1.4,VG,1,EX,3.1,GD,3.7,VG,0.4,EX,0,EX,0.4,EX,1.5,EX,2,EX,0.8,EX,
144,ROUND,0.103,2.95,2.99,1.834,59.8,34.69,41.03,45,76.9,4.58,2.22,4.24,0.87,13.96,43.07,61.71,60,34.5,41,45,75,4.5,STK,VTK,None / Very Small,14,43,61.7,GD,GD,1.4,VG,0.7,EX,2,VG,1.4,VG,10.1,VG,3.5,EX,1.1,EX,1,EX,0.7,EX,3.8,GD,2.9,VG,0.5,EX,1.2,VG,0.7,EX,1.1,EX,3.3,EX,1.4,EX,
147,Round,0.105,3.04,3.06,1.799,59.3,32.59,40.1,47.3,79.9,4.3,1.74,3.45,0.95,13.06,41.71,59.04,59,32.5,40.2,45,80,4.5,MED,THK,None / Very Small,13,41.5,59,GD,GD,0.5,EX,0.9,EX,0.8,EX,0.6,EX,4.2,EX,4.5,EX,1.4,VG,1,EX,1.3,VG,4.1,GD,2.4,EX,0.7,VG,0.5,EX,1.1,VG,3,EX,1.9,EX,0.6,EX,
145,ROUND,0.104,2.91,2.92,1.89,60.2,37.86,41.44,49.2,76.9,5.35,3.46,4.15,0.58,15.5,43.86,64.81,60,38,41.4,50,75,5.5,THK,VTK,None / Very Small,15.5,44,64.8,GD,VG,0.5,EX,0.9,EX,1.1,EX,0.3,EX,3.9,EX,2.8,EX,0.6,EX,0.7,EX,0.7,EX,2.5,VG,2.2,EX,0.3,EX,0.2,EX,0.5,EX,1.1,EX,3.8,EX,0.4,EX,
149,Round,0.105,3,3.03,1.882,56.8,33.23,41.54,44.1,82.3,4.38,2.26,3.29,0.56,14.15,43.94,62.5,57,33,41.6,45,80,4.5,STK,THK,None / Very Small,14,44,62.5,VG,VG,0.9,EX,0.7,EX,0.8,EX,0.4,EX,4.6,EX,2.8,EX,1.4,VG,1,EX,0.7,EX,1.9,VG,2.3,EX,0.7,VG,0.1,EX,0.8,EX,2.2,EX,2.1,EX,0.5,EX,
