internal_id,,,diameter_min,diameter_max,height,table_size,crown_angle,pavilion_angle,star_length,lower_half,girdle_thickness_number,girdle_min_number,girdle_max_number,culet_size,crown_height,pavilion_depth,total_depth,table_size_rounded,crown_angle_rounded,pavilion_angle_rounded,star_length_rounded,lower_half_rounded,girdle_thickness_rounded,girdle_min_grade,girdle_max_grade,culet_size_description,crown_height_rounded,pavilion_depth_rounded,total_depth_rounded,sarine_cut_pre_polish_symmetry,sarine_symmetry,roundness,roundness_grade,table_size_dev,table_size_dev_grade,crown_angle_dev,crown_angle_dev_grade,pavilion_angle_dev,pavilion_angle_dev_grade,star_length_dev,star_length_dev_grade,lower_half_dev,lower_half_dev_grade,girdle_thick_dev,girdle_thick_dev_grade,crown_height_dev,crown_height_dev_grade,pavilion_depth_dev,pavilion_depth_dev_grade,misalignment,misalignment_grade,table_edge_var,table_edge_var_grade,table_off_center,table_off_center_grade,culet_off_center,culet_off_center_grade,table_off_culet,table_off_culet_grade,star_angle,star_angle_grade,upper_half_angle,upper_half_angle_grade,lower_half_angle,lower_half_angle_grade,remarks
515n,Round,0.093,2.94,2.97,1.758,61.5,32.84,41.5,47.3,77.2,3.18,1.56,2.74,0.88,12.39,43.75,59.53,62,33,41.6,45,75,3,MED,STK,None / Very Small,12.5,44,59.5,EX,GD,1.1,VG,1.7,VG,0.9,EX,1.3,VG,4.7,EX,2.2,EX,0.6,EX,1,EX,0.7,EX,3.3,GD,2.9,VG,0.8,VG,0.9,VG,1.3,VG,2,EX,1.4,EX,1.4,EX,
525,Round,0.094,2.89,2.91,1.79,61.1,36.36,41.29,51.1,77.9,3.8,1.55,2.59,0.83,14.39,43.56,61.79,61,36.5,41.2,50,80,4,MED,STK,None / Very Small,14.5,43.5,61.8,GD,VG,0.6,EX,0.8,EX,0.4,EX,0.3,EX,5.4,EX,3.8,EX,1.1,EX,0.7,EX,1.7,VG,1.8,VG,1.1,EX,0.5,EX,0.9,VG,1.3,VG,2.4,EX,2.1,EX,0.6,EX,
526,ROUND,0.094,2.87,2.89,1.823,58.2,35.89,41.6,45.9,80.1,4.24,2.12,3.27,0.87,15.13,44.02,63.39,58,36,41.6,45,80,4,STK,THK,None / Very Small,15,44,63.4,VG,VG,0.8,EX,0.3,EX,0.3,EX,0.6,EX,4.9,EX,4.9,EX,1.1,EX,0.7,EX,0.7,EX,2.6,VG,1.6,EX,0.3,EX,0.5,EX,0.4,EX,1.4,EX,0.6,EX,0.6,EX,
527,ROUND,0.095,2.89,2.91,1.805,61,35.29,41.79,51.7,78.4,4.14,1.27,3.1,0.59,13.71,44.42,62.2,61,35.5,41.8,50,80,4,MED,THK,None / Very Small,13.5,44.5,62.2,VG,VG,0.6,EX,0.2,EX,1,EX,1.2,VG,6.8,EX,6.1,VG,1.5,VG,1,EX,1.7,VG,2.1,VG,3.7,VG,0.4,EX,0.9,VG,0.6,EX,1.2,EX,2.5,EX,1.2,EX,
516,ROUND,0.095,2.95,2.96,1.75,59.4,32.65,40.08,46.2,78.2,4.37,2,4.44,0.51,13,41.79,59.26,59,32.5,40,45,80,4.5,MED,VTK,None / Very Small,13,42,59.3,GD,GD,0.5,EX,0.7,EX,0.5,EX,0.2,EX,9,EX,2.6,EX,1.1,EX,1,EX,1.7,VG,3.8,GD,2.8,VG,0.5,EX,0.8,VG,1.4,VG,1.9,EX,3.1,EX,0.4,EX,
529,Round,0.094,2.88,2.9,1.822,59,35.45,41.81,48.4,76,3.88,1.9,2.91,0.55,14.64,44.51,63.07,59,35.5,41.8,50,75,4,MED,STK,None / Very Small,14.5,44.5,63.1,VG,GD,0.6,EX,0.5,EX,1.2,EX,1.9,GD,5.4,EX,5.4,EX,1.2,EX,0.7,EX,0.7,EX,2,VG,3.3,VG,0.1,EX,1.5,GD,1.5,VG,1.6,EX,2.8,EX,2,VG,
524,ROUND,0.094,2.91,2.93,1.776,58.5,32.44,41,48.5,81.7,4.49,2.57,3.94,0.69,13.19,43.1,60.84,59,32.5,41,50,80,4.5,STK,THK,None / Very Small,13,43,60.8,VG,GD,0.7,EX,0.9,EX,1.8,VG,0.7,EX,8.6,EX,2.1,EX,1,EX,1,EX,0.7,EX,3.2,GD,2.6,EX,0.9,VG,0.6,EX,0.8,EX,1.7,EX,4,EX,0.7,EX,
528,ROUND,0.095,2.9,2.92,1.824,56.9,35.36,41.3,45.6,79.6,3.75,1.69,2.65,0.55,15.27,43.64,62.72,57,35.5,41.4,45,80,4,MED,STK,None / Very Small,15.5,43.5,62.7,VG,GD,0.5,EX,1.5,VG,3.5,GD,0.8,EX,4.1,EX,3.2,EX,1.2,EX,1.4,VG,1.4,VG,2,VG,2,EX,0.7,VG,0.6,EX,1.2,VG,2.6,EX,3.5,EX,1,EX,
532,Round,0.095,2.93,2.95,1.8,60,35.55,41.4,49.9,75.7,2.96,1.29,2.01,0.44,14.29,43.81,61.22,60,35.5,41.4,50,75,3,MED,MED,None / Very Small,14.5,44,61.2,VG,GD,0.6,EX,0.8,EX,1.5,VG,1.7,VG,6.3,EX,4.8,EX,0.6,EX,1,EX,1.4,VG,3.2,GD,3.5,VG,0.2,EX,1,VG,1,VG,2.3,EX,1.8,EX,1.7,EX,
530,ROUND,0.095,2.93,2.95,1.757,60,32.73,40.56,46.8,76.9,4.49,1.97,3.61,0.61,12.82,42.41,59.76,60,32.5,40.6,45,75,4.5,MED,THK,None / Very Small,13,42.5,59.8,VG,VG,0.9,EX,0.2,EX,0.4,EX,1.1,VG,7.1,EX,4,EX,1.3,VG,0.7,EX,1,EX,1.9,VG,3.4,VG,0.6,EX,0.6,EX,1.1,VG,1.8,EX,1.9,EX,1.2,EX,
531,ROUND,0.095,2.96,2.98,1.754,59.7,32.9,40.36,49.6,78.3,3.67,1.52,2.76,0.4,13,42.26,59.06,60,33,40.4,50,80,3.5,MED,STK,None / Very Small,13,42.5,59.1,VG,VG,1,VG,0.9,EX,1,EX,1.4,VG,5.6,EX,4.1,EX,0.9,EX,1.7,VG,1.3,VG,2.5,VG,2.3,EX,0.6,EX,0.8,VG,0.7,EX,3.1,EX,0.5,EX,1.4,EX,
535,Round,0.096,2.86,2.9,1.826,60,36.83,41.6,48.9,76,4.24,1.98,2.88,0.66,15.07,44.11,63.42,60,37,41.6,50,75,4,MED,STK,None / Very Small,15,44,63.4,GD,VG,1.2,VG,1,EX,1.4,VG,1,VG,4.4,EX,3.3,EX,0.9,EX,0.3,EX,1,EX,2.2,VG,1.4,EX,0.5,EX,0.7,VG,1.2,VG,1.6,EX,2.1,EX,1,EX,
536,Round,0.098,2.9,2.92,1.84,59,35.91,41.56,46.9,80.1,4.26,1.99,3.16,0.58,14.85,44.1,63.25,59,36,41.6,45,80,4.5,MED,THK,None / Very Small,15,44,63.3,VG,VG,0.9,EX,1.3,VG,0.5,EX,0.2,EX,3.7,EX,3.3,EX,1.2,EX,1.4,VG,0.7,EX,2.9,VG,3,VG,0.5,EX,0.4,EX,0.9,EX,2.3,EX,1.3,EX,0.3,EX,
533n,Round,0.096,2.92,2.94,1.795,59.4,35.29,40.78,46.9,75.5,3.92,1.57,3.24,0.48,14.39,42.87,61.22,59,35.5,40.8,45,75,4,MED,THK,None / Very Small,14.5,43,61.2,VG,GD,0.6,EX,0.4,EX,0.6,EX,0.8,EX,8.6,EX,5.7,EX,1.4,VG,1.7,VG,1,EX,4.4,GD,3.8,VG,0.8,VG,0.5,EX,1.2,VG,1.9,EX,2.2,EX,0.9,EX,
539,Round,0.097,2.91,2.93,1.81,59,36.89,40.88,47,75.4,3.63,1.37,2.84,0.92,15.42,42.85,61.9,59,37,40.8,45,75,3.5,MED,STK,None / Very Small,15.5,43,61.9,VG,GD,0.7,EX,1.3,VG,1.3,VG,1.8,VG,4.6,EX,4,EX,0.7,EX,0.7,EX,0.7,EX,5.3,GD,2.9,VG,0.8,VG,1.3,GD,1.7,VG,2.5,EX,3.6,EX,1.9,VG,
534n,Round,0.096,2.9,2.93,1.823,58.9,35.25,41.43,49.4,79.4,4.26,1.92,3.06,0.62,14.53,43.78,62.6,59,35.5,41.4,50,80,4.5,MED,THK,None / Very Small,14.5,44,62.6,VG,VG,0.9,EX,1.4,VG,1.2,EX,0.4,EX,5.6,EX,2.5,EX,1.1,EX,1,EX,0.7,EX,3,VG,2.2,EX,0.2,EX,0.4,EX,0.2,EX,1.7,EX,3.5,EX,0.4,EX,
542,Round,0.098,2.91,2.93,1.841,58.5,35.45,41.44,45.8,80.8,4.25,2.23,3.05,0.55,14.8,43.9,63.09,59,35.5,41.4,45,80,4.5,STK,THK,None / Very Small,15,44,63.1,VG,GD,0.7,EX,1.2,EX,0.9,EX,1.5,VG,6,EX,1.7,EX,1.1,EX,1,EX,1.4,VG,3.2,GD,2.5,EX,0.6,EX,0.9,VG,0.5,EX,1.7,EX,0.7,EX,1.5,EX,
541n,Round,0.099,2.94,2.95,1.81,60.3,33.46,41.24,43.5,75.7,4.55,2.55,4.18,0.41,13.17,43.65,61.44,60,33.5,41.2,45,75,4.5,STK,VTK,None / Very Small,13,43.5,61.4,GD,GD,0.5,EX,1.1,EX,0.3,EX,0.5,EX,3.4,EX,6.4,VG,1.6,VG,1,EX,2,VG,3.5,GD,3.6,VG,0.6,EX,1.3,GD,1.7,VG,3.4,EX,1.9,EX,0.7,EX,
545,Round,0.097,2.96,2.97,1.772,59.4,32.15,40.41,47.7,78.4,4.49,2.09,3.85,0.54,12.82,42.27,59.78,59,32,40.4,50,80,4.5,STK,THK,None / Very Small,13,42.5,59.8,GD,GD,0.5,EX,0.5,EX,0.5,EX,0.6,EX,4.2,EX,3.9,EX,1.4,VG,1.3,VG,2.4,VG,5.2,GD,2,EX,1.1,VG,0.8,VG,1.9,GD,3.1,EX,2.2,EX,0.9,EX,
543n,Round,0.099,2.88,2.92,1.846,61.4,36.09,41.85,45.9,75.9,5.35,3.07,4.56,0.76,14.05,44.29,63.72,61,36,41.8,45,75,5.5,THK,VTK,None / Very Small,14,44.5,63.7,GD,GD,1.4,VG,0.3,EX,0.2,EX,1.6,VG,4.1,EX,8.9,VG,1.2,EX,0.7,EX,1.7,VG,4.2,GD,2.8,VG,0.6,EX,1.4,GD,1.9,GD,2.9,EX,1.5,EX,1.3,EX,
547,ROUND,0.098,2.91,2.94,1.839,60.3,37.35,41.58,47.6,78.4,3.86,1.95,2.94,0.72,15.05,43.95,62.89,60,37.5,41.6,50,80,4,MED,STK,None / Very Small,15,44,62.9,GD,VG,0.9,EX,1.2,EX,0.4,EX,0.7,EX,2.7,EX,6,EX,0.8,EX,0.7,EX,0.7,EX,2.9,VG,2.8,VG,0.1,EX,0.6,EX,0.5,EX,2.7,EX,1.8,EX,1,EX,
549,ROUND,0.098,2.91,2.95,1.825,60.1,35.64,41.15,48.6,78.4,4.54,2.08,4.1,0.55,14.35,43.46,62.35,60,35.5,41.2,50,80,4.5,STK,THK,None / Very Small,14.5,43.5,62.4,VG,GD,1.3,VG,1.4,VG,1.8,VG,0.6,EX,3.5,EX,5.5,EX,1.1,EX,1.4,VG,1.4,VG,4.7,GD,2.4,EX,0.5,EX,1.2,VG,1.7,VG,4.7,VG,3.2,EX,0.7,EX,
544n,Round,0.098,2.87,2.89,1.813,60.2,35.93,40.6,48.9,77.2,6.01,3.3,4.79,0.66,14.42,42.56,63,60,36,40.6,50,75,6,THK,VTK,None / Very Small,14.5,42.5,63,GD,GD,0.9,EX,0.4,EX,0.3,EX,0.8,EX,8.4,EX,2.7,EX,0.5,EX,0.7,EX,1,EX,3.6,GD,1.7,EX,0.4,EX,0.1,EX,0.4,EX,1.8,EX,2.3,EX,1.1,EX,
551,Round,0.101,2.92,2.94,1.874,57.1,35.95,41.49,45.4,79.1,4.54,2.29,3.38,0.58,15.54,43.9,64.02,57,36,41.4,45,80,4.5,STK,THK,None / Very Small,15.5,44,64,VG,EX,0.6,EX,0.8,EX,0.4,EX,0.3,EX,5,EX,4.2,EX,1,EX,1,EX,0.3,EX,1.5,EX,1.8,EX,0.5,EX,0.1,EX,0.5,EX,2,EX,1.5,EX,0.5,EX,
552,ROUND,0.1,2.93,2.95,1.875,57.6,37.18,41.61,46.2,81.2,3.44,1.43,2.11,0.54,16.12,44.15,63.78,58,37,41.6,45,80,3.5,MED,STK,None / Very Small,16,44,63.8,VG,VG,0.5,EX,0.4,EX,0.7,EX,0.4,EX,7.3,EX,4.3,EX,0.8,EX,1.4,VG,1,EX,3,VG,2.7,EX,0.7,VG,0.4,EX,1.1,VG,3.4,EX,1.7,EX,0.4,EX,
553,Round,0.1,2.96,2.97,1.819,61.2,35.13,41.33,50.1,77.2,4.12,2.19,2.77,0.61,13.63,43.62,61.37,61,35,41.4,50,75,4,STK,STK,None / Very Small,13.5,43.5,61.4,EX,GD,0.6,EX,1.3,VG,2,VG,0.4,EX,3.3,EX,3.6,EX,0.5,EX,0.3,EX,0.3,EX,4.6,GD,3.2,VG,0.5,EX,0.3,EX,0.8,EX,1.3,EX,1.4,EX,0.6,EX,
554,ROUND,0.1,2.99,3.01,1.792,60.2,34.16,40.59,46.9,80.3,3.73,1.3,2.93,0.57,13.49,42.46,59.67,60,34,40.6,45,80,3.5,MED,STK,None / Very Small,13.5,42.5,59.7,VG,VG,0.8,EX,0.9,EX,0.5,EX,0.9,EX,3.7,EX,4,EX,1.6,VG,0.7,EX,1.3,VG,3,VG,1.8,EX,0.3,EX,0.6,EX,0.5,EX,2.7,EX,1.2,EX,0.7,EX,
550,ROUND,0.1,2.91,2.94,1.82,60.3,37.03,40.69,48.9,76.9,4.61,2.29,4.23,0.79,14.92,42.57,62.14,60,37,40.6,50,75,4.5,STK,VTK,None / Very Small,15,42.5,62.1,GD,GD,1,VG,1.4,VG,0.3,EX,0.7,EX,3,EX,5.6,EX,1.9,VG,1,EX,1,EX,3.6,GD,2.4,EX,0.4,EX,0.2,EX,0.3,EX,0.8,EX,1.8,EX,0.8,EX,
557,Round,0.114,3.13,3.16,1.867,61.6,32.23,41.14,50,79.2,3.78,1.62,2.67,0.7,12.15,43.37,59.36,62,32,41.2,50,80,4,MED,STK,None / Very Small,12,43.5,59.4,VG,VG,0.9,EX,1.9,VG,1.4,VG,1.2,VG,3.5,EX,6,EX,1.2,EX,1.3,VG,1.3,VG,2.4,VG,1.5,EX,0.4,EX,0.5,EX,0.8,EX,2,EX,2.6,EX,1.2,EX,
556,ROUND,0.112,3.14,3.19,1.834,61,33.26,40.18,49.3,77.1,3.29,0.66,2.34,0.54,12.84,41.89,57.98,61,33.5,40.2,50,75,3.5,ETN to VTN,STK,None / Very Small,13,42,58,GD,GD,1.4,VG,1.1,EX,0.6,EX,0.7,EX,6.9,EX,4.1,EX,1.2,EX,1.3,VG,1.3,VG,4.7,GD,3.4,VG,0.1,EX,0.9,VG,1,VG,1.1,EX,1.4,EX,1,EX,
560,Round,0.114,3.06,3.09,1.945,57.6,36.29,41.49,47.4,79.6,3.9,2.05,2.83,0.94,15.5,43.78,63.21,58,36.5,41.4,45,80,4,STK,STK,None / Very Small,15.5,44,63.2,VG,VG,1.1,VG,0.6,EX,0.8,EX,0.6,EX,3.3,EX,3.7,EX,1.1,EX,1,EX,1,EX,1.6,VG,1.8,EX,0.4,EX,0.2,EX,0.4,EX,2.5,EX,2.6,EX,0.6,EX,
561,Round,0.115,3.07,3.1,1.934,58.5,36.91,41.1,49.3,75.4,3.82,1.82,2.63,0.78,15.62,43.24,62.69,59,37,41.2,50,75,4,MED,STK,None / Very Small,15.5,43,62.7,VG,VG,0.9,EX,1,EX,1,EX,0.7,EX,4.3,EX,3.2,EX,1,EX,0.3,EX,1,EX,2.1,VG,2.5,EX,0.5,EX,0.6,EX,0.7,EX,3.2,EX,2.6,EX,0.8,EX,
558,ROUND,0.114,3.1,3.14,1.883,59.2,32.56,40.96,45.6,79,4.07,1.95,3.43,0.67,13.04,43.13,60.33,59,32.5,41,45,80,4,MED,THK,None / Very Small,13,43,60.3,VG,GD,1.1,VG,1.1,EX,1.6,VG,0.8,EX,4.2,EX,6.2,VG,1.7,VG,1,EX,0.6,EX,4.1,GD,2.4,EX,0.4,EX,0.5,EX,0.3,EX,2,EX,1.3,EX,1.6,EX,
563,Round,0.118,3.16,3.19,1.895,62,32.86,41.08,49.5,79.4,4,2.01,3.05,0.5,12.27,43.3,59.63,62,33,41,50,80,4,MED,THK,None / Very Small,12.5,43.5,59.6,VG,VG,0.9,EX,1,EX,0.6,EX,0.9,EX,4.4,EX,2.3,EX,0.6,EX,0.6,EX,0.9,EX,2.5,VG,3,VG,0.4,EX,0.5,EX,0.2,EX,2.5,EX,1.7,EX,1.1,EX,
562,ROUND,0.117,3.16,3.19,1.879,61,32.15,40.88,49.5,78.8,3.88,1.58,2.8,0.6,12.32,43.01,59.2,61,32,40.8,50,80,4,MED,STK,None / Very Small,12.5,43,59.2,VG,GD,1,VG,1.5,VG,0.8,EX,2.1,GD,5,EX,3.6,EX,1.1,EX,0.6,EX,0.9,EX,2.8,VG,3.3,VG,0.1,EX,1.6,GD,1.6,VG,2,EX,1.5,EX,2.3,VG,
565,Round,0.118,3.09,3.12,1.927,60.3,37.34,40.76,47.5,75.1,4.22,1.67,3.09,0.9,15.14,42.67,62.06,60,37.5,40.8,50,75,4,MED,THK,None / Very Small,15,42.5,62.1,GD,VG,1.2,VG,1.6,VG,2.3,VG,0.4,EX,4.4,EX,4.4,EX,1.5,VG,1.9,VG,1.3,VG,2.5,VG,3.3,VG,0.4,EX,0.5,EX,0.9,EX,3.6,EX,3.6,EX,0.4,EX,
567,Round,0.119,3.14,3.16,1.941,57.4,34.21,40.96,46.6,80.9,3.91,2.19,2.79,0.57,14.48,43.19,61.64,57,34,41,45,80,4,STK,STK,None / Very Small,14.5,43,61.6,EX,VG,0.6,EX,0.9,EX,0.4,EX,0.9,EX,4.7,EX,2.2,EX,0.6,EX,1.3,VG,1.6,VG,3,VG,2.1,EX,0.8,VG,0.5,EX,1.1,VG,2.1,EX,1.3,EX,1,EX,
564,ROUND,0.119,3.1,3.14,1.955,58.1,35.89,41.23,42.3,80.1,4.33,2.12,3.27,0.71,15.1,43.19,62.68,58,36,41.2,40,80,4.5,STK,THK,None / Very Small,15,43,62.7,VG,VG,1.1,VG,1.2,EX,0.3,EX,0.4,EX,6.7,EX,1.7,EX,1,EX,1.3,VG,1.9,VG,1.9,VG,3.8,VG,0.8,VG,0.6,EX,1.3,VG,1.7,EX,2.5,EX,0.6,EX,
570,Round,0.12,3.12,3.14,1.967,57.7,35.49,41.28,47.3,78.9,4.02,1.76,2.97,0.51,15.14,43.66,62.82,58,35.5,41.2,45,80,4,MED,THK,None / Very Small,15,43.5,62.8,VG,VG,0.8,EX,0.6,EX,0.7,EX,0.6,EX,2.7,EX,3.6,EX,0.6,EX,1,EX,0.6,EX,1.8,VG,1.6,EX,0.4,EX,0.5,EX,0.6,EX,1.9,EX,1.7,EX,0.7,EX,
569,ROUND,0.119,3.18,3.19,1.899,60.9,31.8,40.98,47.1,74.1,4.27,2.1,3.23,0.56,12.17,43.11,59.59,61,32,41,45,75,4.5,STK,THK,None / Very Small,12,43,59.6,VG,GD,0.5,EX,0.6,EX,0.5,EX,0.6,EX,4.4,EX,4.2,EX,1.4,VG,0.6,EX,0.3,EX,4.2,GD,2.5,EX,0.6,EX,0.2,EX,0.7,EX,2,EX,2.2,EX,0.8,EX,
571,ROUND,0.1,2.93,2.96,1.828,60.1,36.11,41.13,48.9,79.4,3.97,1.59,3.5,0.48,14.59,43.47,62.03,60,36,41.2,50,80,4,MED,THK,None / Very Small,14.5,43.5,62,VG,GD,1.1,VG,0.9,EX,0.8,EX,0.9,EX,4.8,EX,7.6,VG,1.7,VG,0.7,EX,1.7,VG,3.8,GD,3.2,VG,0.6,EX,1.5,GD,2.1,GD,1.8,EX,1.5,EX,1.2,EX,
573,Round,0.099,3.01,3.02,1.772,61.6,33.6,40.68,51.8,80.5,3.38,1.29,2.32,0.8,12.77,42.57,58.79,62,33.5,40.6,50,80,3.5,MED,STK,None / Very Small,13,42.5,58.8,VG,VG,0.6,EX,0.9,EX,1,EX,0.5,EX,3.9,EX,3.5,EX,0.9,EX,0.3,EX,0.7,EX,2.4,VG,2.1,EX,0.2,EX,0.2,EX,0.4,EX,2,EX,1.3,EX,1.1,EX,
572,ROUND,0.099,2.87,2.9,1.842,58.8,36.89,40.76,49.6,77.2,5.45,3.3,4.89,0.55,15.5,42.91,63.89,59,37,40.8,50,75,5.5,THK,VTK,None / Very Small,15.5,43,63.9,GD,VG,1.1,VG,1.6,VG,1.3,VG,1.2,VG,7.6,EX,5.8,EX,1.5,VG,2.1,VG,1.4,VG,2.3,VG,2.7,EX,0.8,VG,0.7,VG,0.1,EX,3.7,VG,4.6,EX,1.3,EX,
574n,Round,0.098,2.98,2.99,1.789,58.9,34.09,40.58,47.7,81.2,3.62,1.21,2.92,0.57,13.77,42.53,59.95,59,34,40.6,50,80,3.5,THN,STK,None / Very Small,14,42.5,60,EX,GD,0.6,EX,1.4,VG,1.8,VG,1.1,VG,6.3,EX,3.6,EX,1.1,EX,1,EX,1,EX,3.2,GD,2.2,EX,0.8,VG,0.3,EX,0.8,EX,1.3,EX,3.8,EX,1.2,EX,
576,ROUND,0.1,3,3.02,1.803,61.6,33.28,41.46,50.6,80.4,3.29,1.36,2.42,0.7,12.62,43.87,59.88,62,33.5,41.4,50,80,3.5,MED,STK,None / Very Small,12.5,44,59.9,EX,GD,0.5,EX,0.3,EX,2.2,VG,1.4,VG,7.1,EX,1.9,EX,1.2,EX,1.3,VG,1.7,VG,4.5,GD,2.4,EX,0.5,EX,1.2,VG,1.3,VG,2.3,EX,2.8,EX,1.9,VG,
644,Round,0.096,2.95,2.96,1.776,60,32.63,41.08,47.3,73.1,3.99,1.96,2.84,0.54,12.86,43.16,60.12,60,32.5,41,45,75,4,MED,STK,None / Very Small,13,43,60.1,EX,GD,0.5,EX,0.4,EX,0.6,EX,1.1,VG,4.6,EX,2.4,EX,1.2,EX,1.4,VG,1.7,VG,3.5,GD,3.4,VG,0.8,VG,0.5,EX,1.2,VG,3.6,EX,1.5,EX,1.2,EX,
165,Round,0.099,2.92,2.96,1.823,59.2,35.11,40.94,48.8,77.3,4.42,2.04,3.91,0.65,14.38,43.08,61.99,59,35,41,50,75,4.5,MED,THK,None / Very Small,14.5,43,62,VG,GD,1.4,VG,1,EX,1,EX,1.1,VG,3.8,EX,5.5,EX,0.7,EX,1.7,VG,1.4,VG,4.7,GD,1.5,EX,0.6,EX,0.4,EX,0.6,EX,1.9,EX,1.4,EX,1.2,EX,
622,Round,0.103,2.98,3.01,1.853,58.6,35.16,41.25,45.9,76.5,3.7,1.77,2.44,0.93,14.61,43.48,61.83,59,35,41.2,45,75,3.5,MED,STK,None / Very Small,14.5,43.5,61.8,EX,VG,0.9,EX,0.9,EX,1.6,VG,0.7,EX,4.4,EX,3.9,EX,0.8,EX,1.3,VG,1.3,VG,2.6,VG,1.8,EX,0.5,EX,0.7,VG,1.1,VG,2.8,EX,2.1,EX,0.8,EX,
206,Round,0.121,3.19,3.22,1.951,56.4,33.48,41.01,47.6,78.3,3.22,1.25,2.22,0.37,14.37,43.29,60.93,56,33.5,41,50,80,3,MED,STK,None / Very Small,14.5,43.5,60.9,EX,EX,0.9,EX,0.3,EX,0.4,EX,0.3,EX,3.7,EX,5.4,EX,0.6,EX,0.6,EX,0.6,EX,1.5,EX,1.9,EX,0.5,EX,0.3,EX,0.4,EX,1.3,EX,1,EX,0.3,EX,
207,Round,0.122,3.15,3.18,1.965,57.1,34.31,41.03,45.6,75.4,4.14,2.31,3.51,0.47,14.65,43.28,62.16,57,34.5,41,45,75,4,STK,THK,None / Very Small,14.5,43.5,62.2,VG,VG,0.9,EX,0.6,EX,0.4,EX,0.1,EX,3.5,EX,3.2,EX,1.1,EX,0.3,EX,0.6,EX,3,VG,2.1,EX,0.2,EX,0.2,EX,0.2,EX,2.2,EX,1.1,EX,0.3,EX,
212,Round,0.112,3.09,3.12,1.892,57.3,34.18,40.85,48,75.7,3.51,1.52,2.77,0.42,14.45,43.02,61.01,57,34,40.8,50,75,3.5,MED,STK,None / Very Small,14.5,43,61,EX,VG,0.9,EX,0.8,EX,0.4,EX,0.2,EX,7.8,EX,2.1,EX,0.4,EX,0.3,EX,0.3,EX,2.4,VG,2.5,EX,0.2,EX,0.1,EX,0.2,EX,2.1,EX,2.1,EX,0.2,EX,
589,Round,0.123,3.23,3.24,1.913,61.8,32.4,41.13,48.6,76.3,3.55,1.98,2.29,0.74,12.15,43.31,59.13,62,32.5,41.2,50,75,3.5,MED,STK,None / Very Small,12,43.5,59.1,VG,GD,0.5,EX,0.4,EX,1.1,EX,1.2,VG,4.3,EX,2.7,EX,0.6,EX,0.9,EX,1.2,EX,3.4,GD,3.2,VG,0.3,EX,0.7,VG,0.4,EX,2.7,EX,1.7,EX,1.4,EX,
592,Round,0.102,2.93,2.96,1.887,57.6,36.9,41.83,46.8,78.3,3.77,0.98,2.75,0.71,15.86,44.35,64.07,58,37,41.8,45,80,4,THN,STK,None / Very Small,16,44.5,64.1,GD,GD,1.3,VG,0.6,EX,1,EX,0.8,EX,5.7,EX,5.1,EX,1.6,VG,1,EX,1,EX,4.3,GD,2.9,VG,0.3,EX,0.4,EX,0.4,EX,1.7,EX,1.4,EX,0.9,EX,
624,Round,0.098,2.86,2.88,1.835,60.2,36.96,40.99,48.2,81.3,5.82,2.96,4.88,0.73,15.03,43.03,63.98,60,37,41,50,80,6,THK,VTK,None / Very Small,15,43,64,GD,GD,0.6,EX,0.7,EX,1.9,VG,1.6,VG,4.2,EX,5.6,EX,1,EX,0.7,EX,1.7,VG,3.6,GD,2.9,VG,0.6,EX,0.7,VG,1,VG,3.2,EX,5,EX,1.9,VG,
627,Round,0.125,3.17,3.19,1.987,58.1,33.84,41.7,47.1,80.7,4.31,2.23,3.24,0.79,14.01,44.16,62.54,58,34,41.8,45,80,4.5,STK,THK,None / Very Small,14,44,62.5,VG,VG,0.7,EX,1.1,EX,0.9,EX,1.1,VG,5,EX,2.5,EX,0.8,EX,0.6,EX,1.3,VG,1.6,VG,1.8,EX,0.2,EX,0.1,EX,0.2,EX,4.1,VG,1.9,EX,1,EX,
634,Round,0.113,3.11,3.13,1.869,61.5,33.01,41.13,47.7,76.7,3.91,1.47,2.91,0.54,12.52,43.41,59.83,62,33,41.2,50,75,4,MED,STK,None / Very Small,12.5,43.5,59.8,EX,VG,0.6,EX,0.4,EX,0.3,EX,0.5,EX,3.9,EX,4.2,EX,1.5,VG,0.6,EX,1,EX,2.4,VG,1.1,EX,0.7,VG,0.7,VG,1,VG,2.2,EX,1.4,EX,0.6,EX,
615,Round,0.097,2.92,2.93,1.825,59.3,33.99,41.6,46.8,79,4.48,1.84,3.42,0.58,13.77,44,62.35,59,34,41.6,45,80,4.5,MED,THK,None / Very Small,14,44,62.4,VG,GD,0.5,EX,1,EX,0.6,EX,0.7,EX,3.3,EX,6.5,VG,1.8,VG,0.7,EX,2,VG,2.9,VG,2.8,VG,0.6,EX,1.7,GD,2.2,GD,1.3,EX,1.8,EX,0.9,EX,
659,Round,0.109,3.05,3.1,1.876,58.7,33.24,41.36,47.4,82.2,3.38,1.36,2.05,0.68,13.68,43.83,60.95,59,33,41.4,45,80,3.5,MED,STK,None / Very Small,13.5,44,60.9,EX,VG,1.6,VG,0.2,EX,1.9,VG,0.8,EX,3.1,EX,3.2,EX,1,EX,1,EX,1,EX,2.6,VG,1.1,EX,0.9,VG,0.2,EX,0.7,EX,2.6,EX,5,EX,1,EX,
